a,b,c,d,0
3 pok blisko metra,475000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pok-blisko-metra/1008215740400912407250109,2020-10-15 15:45,0
2-pokojowe przy Lasku Bielańskim,439900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2+pokojowe-przy-lasku-bielanskim/1008215201390912407250109,2020-10-15 14:45,0
3 pokoje z widokiem na teren bielańskiej zieloni !!,477000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-z-widokiem-na-teren-bielanskiej-zieloni/1008214817390912407250109,2020-10-15 13:45,0
3 pokoje Bielany przy metrze!,539000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-bielany-przy-metrze/1008214735560912407250109,2020-10-15 13:45,0
Dwa niezależne pokoje przy Metro Wawrzyszew,395000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/dwa-niezalezne-pokoje-przy-metro-wawrzyszew/1008214637640911355524009,2020-10-15 13:45,0
2-pokojowe stylowe retro na Bielanach,549000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2+pokojowe-stylowe-retro-na-bielanach/1008214491580912407250109,2020-10-15 13:45,0
2 oddzielne pokoje na Bielanach,539000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2-oddzielne-pokoje-na-bielanach/1008214351850912530030109,2020-10-15 12:45,0
"3 pokoje blisko Metra Słodowiec, od zaraz!",529000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-blisko-metra-slodowiec-od-zaraz/1008214465220912530030109,2020-10-15 12:45,0
"Rozkładowe, 3-pokojowe mieszkanie na Bielanach",475000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/rozkladowe-3+pokojowe-mieszkanie-na-bielanach/1008214240850911355524009,2020-10-15 12:45,0
3 pokoje na Bielanach przy metrze!!!,499000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-na-bielanach-przy-metrze/1008214351400912407250109,2020-10-15 12:45,0
Trzypokojowe mieszkanie na Bielanach,510000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/trzypokojowe-mieszkanie-na-bielanach/1008214205960911355524009,2020-10-15 12:45,0
"3 POKOJE, PRZESTRONNE, KĘPA POTOCKA !!",520000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-przestronne-kepa-potocka/1008214205570912407250109,2020-10-15 12:45,0
Dwa niezależne pokoje przy metrze,420000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/dwa-niezalezne-pokoje-przy-metrze/1008214020960911355524009,2020-10-15 12:45,0
"Przy metrze Wawrzyszew, kameralny budynek",495000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/przy-metrze-wawrzyszew-kameralny-budynek/1008214150390911355524009,2020-10-15 12:45,0
"2-pokojowe mieszkanie-Bielany, 3 minuty do metra!",449000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2+pokojowe-mieszkanie+bielany-3-minuty-do-metra/1008214016900911355524009,2020-10-15 12:45,0
Świetne 3 pokoje w super lokalizacji / METRO!,467000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/swietne-3-pokoje-w-super-lokalizacji-metro/1008214150010911355524009,2020-10-15 12:45,0
Piękne 2-pokojowe mieszkanie po remoncie!,390000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/piekne-2+pokojowe-mieszkanie-po-remoncie/1008213904590911355524009,2020-10-15 11:45,0
"Metro Słodowiec, 3 pok z ładnym widokiem",520000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/metro-slodowiec-3-pok-z-ladnym-widokiem/1008214020030911355524009,2020-10-15 11:45,0
"Mieszkanie do remontu 3 pokoje z balkonem BIELANY ul. Kasprowicza - 48,1 mkw ",478000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-do-remontu-3-pokoje-z-balkonem-bielany-ul-kasprowicza-+-48-1-mkw/1008213191340912105367809,2020-10-15 11:45,0
3 kawalerki gotowe do najmu! Inwestuj i zarabiaj!,223000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-kawalerki-gotowe-do-najmu-inwestuj-i-zarabiaj/1008212898190912487464909,2020-10-15 10:45,0
Mieszkanie - Warszawa > Bielany > Chomiczówka > Kwitnąca,450000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-+-warszawa-bielany-chomiczowka-kwitnaca/1008212238940911440411409,2020-10-15 10:45,0
Metro Wawrzyszew. Umeblowane. Sprzęt RTV i AGD w doskonałej lokalizacji. W pobliżu AWF oraz UKSW.,375000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/metro-wawrzyszew-umeblowane-sprzet-rtv-i-agd-w-doskonalej-lokalizacji-w-poblizu-awf-oraz-uksw/1008212238090910771905009,2020-10-15 08:45,0
"2 pokojowe, rozkładowe mieszkanie , ul. Andersena, metro Wawrzyszew",430000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2-pokojowe-rozkladowe-mieszkanie-ul-andersena-metro-wawrzyszew/1008211565650910468391609,2020-10-15 08:45,0
Mieszkanie Warszawa Bielany 56m2 (nr: 180290126),500000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-warszawa-bielany-56m2-nr-180290126/1008211674410911488050009,2020-10-15 07:45,0
Mieszkanie Warszawa Bielany 56m2 (nr: 242610126),532000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-warszawa-bielany-56m2-nr-242610126/1008211708200911488050009,2020-10-15 07:45,0
Mieszkanie Warszawa Bielany 56.5m2 (nr: 238820126),490000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-warszawa-bielany-56-5m2-nr-238820126/1008211613460911488050009,2020-10-15 07:45,0
Mieszkanie Warszawa Bielany 60m2 (nr: 232430126),474000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-warszawa-bielany-60m2-nr-232430126/1008211754060911488050009,2020-10-15 07:45,0
Mieszkanie Warszawa Bielany 54m2 (nr: 235620126),490000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-warszawa-bielany-54m2-nr-235620126/1008211182650911488050009,2020-10-15 07:45,0
Mieszkanie Warszawa Bielany 56.3m2 (nr: M-94952-11/E6),490000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-warszawa-bielany-56-3m2-nr-m+94952+11-e6/1008211178580911447620009,2020-10-15 06:45,0
Rozkładowe 2 pok. z osobną kuchnią - Metro St.Bielany,420000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/rozkladowe-2-pok-z-osobna-kuchnia-+-metro-st-bielany/1008211069080912084343209,2020-10-15 00:45,0
4 pokoje z osobną kuchnią!,451950,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/4-pokoje-z-osobna-kuchnia/1008217825530912407250109,2020-10-16 02:59,0
2-pok. Balkon z panoramą Warszawy,489000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2+pok-balkon-z-panorama-warszawy/1008217793910912407250109,2020-10-16 01:59,0
MIESZKANIE 63 mkw na BIELANACH!,529000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-63-mkw-na-bielanach/1008217754750912407250109,2020-10-16 00:59,0
"Bielany, Petofiego, 3 pok., 56 m2, 1982 rok",510000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/bielany-petofiego-3-pok-56-m2-1982-rok/1008217723150911543980109,2020-10-15 23:59,0
3 pokoje Bielany Broniewskiego,480000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-bielany-broniewskiego/1008217581820912407250109,2020-10-15 22:59,0
M2 z duzym tarasem na Bielanach,456000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/m2-z-duzym-tarasem-na-bielanach/1008217363680912407250109,2020-10-15 21:59,0
2-pokojowe blisko metra na Bielanach,515000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2+pokojowe-blisko-metra-na-bielanach/1008217265570912407250109,2020-10-15 21:59,0
3-pokojowe blisko lasu i starorzecza na Bielanach,520000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3+pokojowe-blisko-lasu-i-starorzecza-na-bielanach/1008214205570912407250109,2020-10-15 13:00,0
"Przestronne, słoneczne trzy pokoje w al. Władysława Reymonta.",479000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/przestronne-sloneczne-trzy-pokoje-w-al-wladyslawa-reymonta/1008219653700912448490009,2020-10-16 11:12,0
Trzy pokoje na Bielanach przy ul. Wrzeciono.,480000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/trzy-pokoje-na-bielanach-przy-ul-wrzeciono/1008219653580912448490009,2020-10-16 11:12,0
Cztery pokoje na Bielanach przy Klaudyny.,528000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/cztery-pokoje-na-bielanach-przy-klaudyny/1008219653380912448490009,2020-10-16 11:12,0
STARE BIELANY / Broniewskiego przy Starej Baśni 50 m,450000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/stare-bielany-broniewskiego-przy-starej-basni-50-m/1008221189090912101220009,2020-10-16 14:30,0
1-pokojowe blisko metra na Bielanach,420000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/1+pokojowe-blisko-metra-na-bielanach/1008217265370912407250109,2020-10-15 21:30,0
"*** OKAZJA!!!***PIĘKNE, WYREMONTOWANE MIESZKANIE - 3 POKOJE, BIELANY",490000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/okazja-piekne-wyremontowane-mieszkanie-+-3-pokoje-bielany/1008222468580912104972909,2020-10-16 20:10,0
Słoneczne 3-pokojowe mieszkanie ul. wrzeciono,510000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/sloneczne-3+pokojowe-mieszkanie-ul-wrzeciono/1008222233970912659251409,2020-10-16 18:10,0
Mieszkanie na Chomiczówce!,540000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-na-chomiczowce/1008225346170911381140509,2020-10-17 14:39,0
Mieszkanie do własnej aranżacji!,530000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-do-wlasnej-aranzacji/1008225075250911381140509,2020-10-17 13:39,0
Nowe mieszkanie - Marymont,485000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/nowe-mieszkanie-+-marymont/1008228615160911378581009,2020-10-18 00:56,0
3 pokoje - blisko metro Wawrzyszew,470000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-+-blisko-metro-wawrzyszew/1008228615060911378581009,2020-10-17 17:56,0
Bielany 3 pokoje - przy stacji metra,507000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/bielany-3-pokoje-+-przy-stacji-metra/1008228554350911378581009,2020-10-17 17:56,0
"2 POKOJOWE 52 M2 Z GARAŻEM i KOMÓRĄ, 2007, BIELANY",518000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2-pokojowe-52-m2-z-garazem-i-komora-2007-bielany/1008228322200911378581009,2020-10-18 11:56,0
"Bielany - 3 pokoje blisko metro, las!",515000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/bielany-+-3-pokoje-blisko-metro-las/1008228139910911378581009,2020-10-18 10:56,0
Sprzedam mieszkanie na Bielanach,485000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/sprzedam-mieszkanie-na-bielanach/1008226585710912485078509,2020-10-17 21:56,0
"M2 NA ŻOLIBORZU PRZY METRZE, ZIELONA OKOLICA !",399000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/m2-na-zoliborzu-przy-metrze-zielona-okolica/1008226796990912590090009,2020-10-17 21:56,0
Mieszkanie Warszawa Bielany 56.8m2 (nr: M-84880-11/E83),500000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-warszawa-bielany-56-8m2-nr-m+84880+11-e83/1008231179110911447620009,2020-10-19 06:37,0
"MIESZKANIE 3-POKOJOWE, 56 m2, 4 PIĘTRO",520800,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-3+pokojowe-56-m2-4-pietro/1008230906020912077935109,2020-10-18 22:37,0
"M3 PRZY METRZE WAWRZYSZEW, STAWY BRUSTMANA!",439000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/m3-przy-metrze-wawrzyszew-stawy-brustmana/1008230152710911052204109,2020-10-18 19:37,0
M2 PRZY METRZE WAWRZYSZEW W ODNOWIONYM BLOKU,369000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/m2-przy-metrze-wawrzyszew-w-odnowionym-bloku/1008230159230911052204109,2020-10-18 19:37,0
Nowe parterowe z tarasem i ogródkiem 55m2 Powstańców Śląskich,526500,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/nowe-parterowe-z-tarasem-i-ogrodkiem-55m2-powstancow-slaskich/1008229282870910492908009,2020-10-18 16:37,0
BRONIEWSKIEGO 50 m,450000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/broniewskiego-50-m/1008229362930912101220009,2020-10-18 16:37,0
"42, 5 m 2 oddzielne pokoje duży potencjał Bielany",435000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/42-5-m-2-oddzielne-pokoje-duzy-potencjal-bielany/1008229016480911378581009,2020-10-18 14:37,0
2 ciche pokoje Bielany 15 min do Metro Młociny,360000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2-ciche-pokoje-bielany-15-min-do-metro-mlociny/1008228999020911378581009,2020-10-18 13:37,0
Bielany - 3 pokoje - przy metrze,475000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/bielany-+-3-pokoje-+-przy-metrze/1008228915340911378581009,2020-10-18 13:37,0
3 pokoje - blisko metro Słodowiec,544000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-+-blisko-metro-slodowiec/1008228999000911378581009,2020-10-18 13:37,0
"Bielany - 3 pokoje - blisko Metro, Las!",447000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/bielany-+-3-pokoje-+-blisko-metro-las/1008228684600911378581009,2020-10-18 13:37,0
"Słoneczne 2 pokojowe, Metro Wawrzyszew",420000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/sloneczne-2-pokojowe-metro-wawrzyszew/1008228684320911378581009,2020-10-18 13:37,0
przy stacji Metro Wawrzyszew,460000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/przy-stacji-metro-wawrzyszew/1008228684300911378581009,2020-10-18 13:37,0
"Mieszkanie do remontu 3 pokoje z balkonem BIELANY ul. Kasprowicza - 48,1 mkw  ",478000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-do-remontu-3-pokoje-z-balkonem-bielany-ul-kasprowicza-+-48-1-mkw/1008233630150912105367809,2020-10-19 11:21,0
"Przytulne 2 pok. mieszkanie na Bielanach, Piaski",425000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/przytulne-2-pok-mieszkanie-na-bielanach-piaski/1008232563200911378581009,2020-10-19 10:21,0
3 pok mieszkanie zlokalizowane ul Kochanowskiego,520800,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pok-mieszkanie-zlokalizowane-ul-kochanowskiego/1008236085740911378860309,2020-10-19 16:54,0
Bardzo ładne 3-pokojowe do wprowadzenia się (MS-627) ,535000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/bardzo-ladne-3+pokojowe-do-wprowadzenia-sie-ms+627/1008236292010912472146409,2020-10-19 15:54,0
3-pok. z oddzielną kuchnią 57m2 na Bielanach,545000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3+pok-z-oddzielna-kuchnia-57m2-na-bielanach/1008234959810912697490409,2020-10-19 13:54,0
"3 pokoje,Bielany,ładny układ mieszkania,niski budynek",465000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-bielany-ladny-uklad-mieszkania-niski-budynek/1008234566560910468341409,2020-10-19 13:54,0
3 pokojowe przy METRO WAWRZYSZEW!,495000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokojowe-przy-metro-wawrzyszew/1008241638910912407250109,2020-10-19 09:35,0
3 pokoje 59mkw BIELANY!,497000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-59mkw-bielany/1008241209670912407250109,2020-10-20 12:35,0
2 pokojowe mieszkanie Bielany ul. Szegedyńska,448000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2-pokojowe-mieszkanie-bielany-ul-szegedynska/1008238277330911378860309,2020-10-20 00:35,0
3 pokoje Bielany ul. Wrzeciono,475000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-bielany-ul-wrzeciono/1008238230600911378860309,2020-10-19 23:35,0
2 pok mieszkanie Bielany ul. Zgrupowania AK Żmija,456000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2-pok-mieszkanie-bielany-ul-zgrupowania-ak-zmija/1008238231180911378860309,2020-10-19 23:35,0
"1 pokój, Bielany ul Wrzeciono",440000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/1-pokoj-bielany-ul-wrzeciono/1008238203890911378860309,2020-10-19 23:35,0
3 pokojowe mieszkanie Bielany ul. Klaudyny.,510000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokojowe-mieszkanie-bielany-ul-klaudyny/1008238201460911378860309,2020-10-19 23:35,0
2 pokojowe mieszkanie Bielany ul. Andersena,499000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2-pokojowe-mieszkanie-bielany-ul-andersena/1008238181360911378860309,2020-10-19 23:35,0
"3 pokoje, Bielany ul Broniewskiego",545000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-bielany-ul-broniewskiego/1008238152730911378860309,2020-10-19 23:35,0
3 pokojowe mieszkanie Bielany ul. Słodowiec,500000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokojowe-mieszkanie-bielany-ul-slodowiec/1008238164380911378860309,2020-10-19 23:35,0
2 pok mieszkanie Bielany ul. Stefana Żeromskiego,440000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2-pok-mieszkanie-bielany-ul-stefana-zeromskiego/1008238152420911378860309,2020-10-19 22:35,0
1 pokojowe mieszkanie Bielany ul. Kasprowicza,440000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/1-pokojowe-mieszkanie-bielany-ul-kasprowicza/1008238126200911378860309,2020-10-19 22:35,0
3 pokojowe mieszkanie Bielany ul. Szubińska.,490000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokojowe-mieszkanie-bielany-ul-szubinska/1008238083720911378860309,2020-10-19 22:35,0
3 pokojowe mieszkanie Bielany ul. Starej Baśni,475000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokojowe-mieszkanie-bielany-ul-starej-basni/1008238044250911378860309,2020-10-19 22:35,0
"1 pokój, Bielany ul Duracza",299000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/1-pokoj-bielany-ul-duracza/1008238009290911378860309,2020-10-19 22:35,0
3 pokojowe mieszkanie Bielany ul. Wrzeciono,480000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokojowe-mieszkanie-bielany-ul-wrzeciono/1008237978750911378860309,2020-10-19 22:35,0
3 pokoje Bielany ul. Kasprowicza,500000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-bielany-ul-kasprowicza/1008237976110911378860309,2020-10-19 21:35,0
3 pokoje Bielany ul. Bogusławskiego,530000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-bielany-ul-boguslawskiego/1008237960100911378860309,2020-10-19 21:35,0
3 pokojowe mieszkanie Bielany ul. Przytyk,495000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokojowe-mieszkanie-bielany-ul-przytyk/1008237937200911378860309,2020-10-19 21:35,0
"TRZY POKOJE BIELANY, DOSKONAŁA INWESTYCJA",500000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/trzy-pokoje-bielany-doskonala-inwestycja/1008237604770910770622709,2020-10-19 20:35,0
3-pokojowe mieszkanie przy metrze Wawrzyszew,465000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3+pokojowe-mieszkanie-przy-metrze-wawrzyszew/1008243536910912101150209,2020-10-20 18:04,0
Rozkładowe trzy pokoje przy metrze Wawrzyszew,479000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/rozkladowe-trzy-pokoje-przy-metrze-wawrzyszew/1008242434410911355524009,2020-10-20 15:04,0
PLAC KONFEDERACJI - 2 POK. UL. SCHROEGERA - METRO  ,485000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/plac-konfederacji-+-2-pok-ul-schroegera-+-metro/1008241826740912506370709,2020-10-20 14:04,0
Inwestycyjne 4 pokoje!,451950,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/inwestycyjne-4-pokoje/1008242252490912407250109,2020-10-20 14:04,0
Mieszkanie Warszawa Bielany 56.8m2 (nr: 31187/4508/OMS),520000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-warszawa-bielany-56-8m2-nr-31187-4508-oms/1008246026370912395010109,2020-10-21 09:14,0
Metro Wawrzyszew. Umeblowane. Sprzęt RTV i AGD. W doskonałej lokalizacji. W pobliżu AWF oraz UKSW.,375000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/metro-wawrzyszew-umeblowane-sprzet-rtv-i-agd-w-doskonalej-lokalizacji-w-poblizu-awf-oraz-uksw/1008246246020910771905009,2020-10-21 09:14,0
